NAME,AGE,SEX,MARITIAL STATUS,ADHAAR CARD NO.,PAN CARD NO.,ADDRESS,PHONE NO.,POLICY CODE,POLICY NAME,POLICY EXPIRY YEAR,INSURANCE AMOUNT,NOMINEE NAME,NOMINEE RELATION,NOMINEE NO.
Raghu Raam,39,Male,MARRIED,7889 7675 6898,IFFET4255A,"PLOT 21, SECTOR 21, NOIDA,UP",7893238786,301,LIC JEEVAN BEEMA-21,2027,1000000,Sumitra Devi,WIFE,9898767567
Keshav Tripathy ,27,Male,MARRIED,9654 4521 7421,IBFSC1261Q,"FLAT 45A, SECTOR 62,NOIDA, UP",7215820301,301,LIC JEEVAN BEEMA-21,2025,1000000,Surbhijyoti ,WIFE,9682326532
Himesh Mani,28,Male,MARRIED,7845 9658 5266,WJJAA1245Q,"PLOT A, SECTOR 27, NOIDA,UP",9635212540,301,LIC JEEVAN BEEMA-21,2029,1000000,Nimisha Singh ,WIFE,7234968325
Raamesh Kr,41,Male,MARRIED,7845 1245 9645,ASWLQ75641,"701,BUILDING B,MVR,MUMBAI",6396352630,301,LIC JEEVAN BEEMA-21,2070,1000000,Soni ,WIFE,8253012301
Sibasis Sahu,57,Male,MARRIED,9652 4125 3629,JKJHA2019P,"43 A,MANGAL APPT. CHENNAI",9235231026,301,LIC JEEVAN BEEMA-21,2021,1000000,Sameesksha ,WIFE,9652365233
Mamata Sukla,26,Female,MARRIED,7496 9633 4587,IOUOU7830Q,"76 C, KIRTI BUILDING, DELHI",8526234162,301,LIC JEEVAN BEEMA-21,2019,1000000,Divesh Pratap,HUSBAND,9462651232
Meenakshi Tyagi,53,Female,MARRIED,9645 7812 1001,MNIOA4500E,"8B, POCKET 2, MVP-3, BHUBANESWAR",9886896856,301,LIC JEEVAN BEEMA-21,2015,1000000,Ramesh Pathak,HUSBAND,8000235623
Rani Mukkerjee,61,Female,MARRIED,9634 1562 3265,KJLPO0231A,"12/4 BUILDING 2, SITE 4,MADHURAI",9686235967,301,LIC JEEVAN BEEMA-21,2013,1000000,Uday Chopra,HUSBAND,9063063033
Shilpa Sen,75,Female,MARRIED,6352 4521 4215,ASDDA4969A,"41, VVIP APPT, NAVI MUMBAI",8694100023,301,LIC JEEVAN BEEMA-21,2049,1000000,Ramesh Pathak,HUSBAND,9868945642
Ranika Chatopadhaya,45,Female,MARRIED,6936 4125 1210,DFGHQ8569T,"21A, COVERT SQUARE, AHEMDABAD",6359632012,302,LIC JEEVAN BEEMA-22,2050,10000000,Divesh Pratap,HUSBAND,9630250230
Seetalakshi Devi,26,Female,MARRIED,1201 2356 5263,XVERT4523S,"11,LANE 2, DELHI",9652362659,302,LIC JEEVAN BEEMA-22,2046,10000000,Ramesh Pathak,HUSBAND,8020604053
Samantha Ruth ,21,Female,MARRIED,3526 6325 5235,POILK5210A,"46/3 BUILDING C, SUCHITRA APPT. GREATER NOIDA",9326528214,302,LIC JEEVAN BEEMA-22,2031,10000000,Uday Chopra,HUSBAND,9503046257
Parul Aggarwal,36,Female,UNMARRIED,9685 6565 9320,QPTUY2036A,"PLOT 2S,SECTOR 71, CHANDIGARH",6235652352,302,LIC JEEVAN BEEMA-22,2019,10000000,Ramesh Pathak,FATHER,9865856821
Purva Rana,54,Female,UNMARRIED,7412 4562 5236,PLOIP2098B,"PLOT 6,HOUSE NO 2, SECTOR 32,AMBALA",7894584572,302,LIC JEEVAN BEEMA-22,2014,10000000,Chinmay Chaudhary ,FATHER,9626681420
Somitra Rana,24,Male,UNMARRIED,8780 4625 2020 ,QWERT7458U,"C-32, DELTA 1, SECTOR 12, GREATER NOIDA",9635692103,302,LIC JEEVAN BEEMA-22,2020,10000000,Mamata Sukla,MOTHER,6325020130
Sunil,23,Male,UNMARRIED,9696 3639 1520 ,WSTHS9620P,"12/7, BUILDING 2, SITE 5, GAZAIBAD",7520163202,302,LIC JEEVAN BEEMA-22,2063,10000000,Meenakshi Tyagi,MOTHER,8012013015
Rajeeva,45,Male,MARRIED,1230 4568 7485,SXTGH4520Q,"123-A, POCKET 2, MVS, MANAGALORE",8564120302,302,LIC JEEVAN BEEMA-22,2029,10000000,Rani Mukkerjee,HUSBAND,9655012050
Kartik,56,Male,MARRIED,9865 1500 2456,POLAD1039T,"709, T-5, GAUR CITY, JAIPUR",7985686523,302,LIC JEEVAN BEEMA-22,2046,10000000,Shilpa Sen,HUSBAND,9603606505
Suraaj ,90,Male,MARRIED,1425 6352 9689,POGHT60325,"21/5, SITE 2, CUTTUCK ",9458163267,302,LIC JEEVAN BEEMA-22,2045,10000000,Ranika Chatopadhaya,HUSBAND,6030563014
Malik,30,Male,MARRIED,5623 2013 1425,WEDRT7458I,"42, BAZAAR ROAD, HIRAKUD",9865263520,303,LIC JEEVAN BEEMA-23,2070,5000000,Sanjeevani,WIFE,9648452120
Sushant,56,Male,MARRIED,8956 4125 2635,ASXAA4526O,"21, HOUSE 2, LANE 5, AGRA",9856220213,303,LIC JEEVAN BEEMA-23,2026,5000000,Kirti ,WIFE,9362652021
Rahul,31,Male,MARRIED,2030 1021 6548,ASZSD36251,"12/7, KETAN VIHAR, RANCHI",7549630123,303,LIC JEEVAN BEEMA-23,2030,5000000,Sonali ,WIFE,7454125213
Ravi ,24,Male,UNMARRIED,7895 4569 4125,KOLPA4586F,"1A, FIRESTATION ROAD , GWALIOR",6030230230,303,LIC JEEVAN BEEMA-23,2016,5000000,Shikha,MOTHER,6326529532
Ketan,25,Male,UNMARRIED,4103 1210 1251,COPAS9568R,"21, PHASE 2, TIRUVANATHPURAM",9681542160,303,LIC JEEVAN BEEMA-23,2065,5000000,Komal ,MOTHER,7965862520
Sonali ,22,Female,UNMARRIED,1426 5263 2514 ,POIU7895Q,"PLOT 21, SECTOR 21, NOIDA,UP",9856810003,303,LIC JEEVAN BEEMA-23,2070,5000000,Rajeev,FATHER,7485496586
Sheena,26,Female,UNMARRIED,4152 6325 5689 ,TYHUG56822,"FLAT 45A, SECTOR 62,NOIDA, UP",7520306250,303,LIC JEEVAN BEEMA-23,2031,5000000,Tiru,FATHER,9457457454
Rani,24,Female,MARRIED,8547 4596 6546 ,POITY4021Y,"PLOT A, SECTOR 27, NOIDA,UP",8020603503,303,LIC JEEVAN BEEMA-23,2029,5000000,Gaurav,HUSBAND,9636263202
Kritivij,21,Female,MARRIED,4587 4125 2365 ,PLOIA2300L,"701,BUILDING B,MVR,MUMBAI",7056035601,303,LIC JEEVAN BEEMA-23,2025,5000000,Shivaaji,HUSBAND,8016205302
Priyanka,30,Female,MARRIED,1245 1425 3602,PLOKI12344,"43 A,MANGAL APPT. CHENNAI",9868302654,303,LIC JEEVAN BEEMA-23,2027,5000000,Adinarayaan,HUSBAND,9603256330
Raju ,25,Male,MARRIED,4526 1235 2356 ,QWASA4512L,"76 C, KIRTI BUILDING, DELHI",7895656221,501,LIC TERM COVER,2027,500000,Purva,WIFE,9656230162
Jobin,28,Male,MARRIED,4578 9658 6235,WTSYH493S2,"8B, POCKET 2, MVP-3, BHUBANESWAR",9685326594,501,LIC TERM COVER,2028,500000,Harshita,WIFE,9652356284
Himanshu,35,Male,MARRIED,4152 7459 6320 ,HJJSD2012S,"12/4 BUILDING 2, SITE 4,MADHURAI",9686552365,501,LIC TERM COVER,2089,500000,Rinki ,WIFE,8457956856
Jerry ,42,Male,MARRIED,1200 3002 1200,POIUN1245O,"41, VVIP APPT, NAVI MUMBAI",9658475124,501,LIC TERM COVER,2023,500000,Surbhijyoti ,WIFE,7594682301
Josheph,71,Male,MARRIED,7874 4859 4568,ABCGD7483I,"21A, COVERT SQUARE, AHEMDABAD",8201352640,501,LIC TERM COVER,2024,500000,Mohini,WIFE,9568263526
Purva,26,Female,MARRIED,1234 5636 4356 ,OIJLT7458O,"11,LANE 2, DELHI",7052304601,501,LIC TERM COVER,2031,500000,Raju ,HUSBAND,9653256235
Harshita,24,Female,MARRIED,4584 4521 1032 ,PLOID4552E,"46/3 BUILDING C, SUCHITRA APPT. GREATER NOIDA",7564896523,501,LIC TERM COVER,2054,500000,Jobin,HUSBAND,9652362352
Rinki ,29,Female,MARRIED,1452 6523 8457 ,QPOLT4578A,"PLOT 2S,SECTOR 71, CHANDIGARH",6363152462,501,LIC TERM COVER,2014,500000,Himanshu,HUSBAND,8648571254
Surbhijyoti ,28,Female,MARRIED,5214 4125 6894,ERTYC4568,"PLOT 6,HOUSE NO 2, SECTOR 32,AMBALA",6230121063,501,LIC TERM COVER,2031,500000,Jerry ,HUSBAND,6351020310
Mohini,27,Female,MARRIED,7485 9568 8575,RFTHY7458O,"C-32, DELTA 1, SECTOR 12, GREATER NOIDA",7050260301,501,LIC TERM COVER,2012,500000,Josheph,HUSBAND,6325421625
Raghu Raam,26,Male,MARRIED,14521 2365 2895,KJLPO0231A,"12/7, BUILDING 2, SITE 5, GAZAIBAD",9802163501,501,LIC TERM COVER,2016,500000,Sanjeevani,WIFE,9658326596
Keshav Tripathy ,24,Male,MARRIED,4574 5263 1524,ASDDA4969A,"123-A, POCKET 2, MVS, MANAGALORE",9203023020,501,LIC TERM COVER,2030,500000,Kirti ,WIFE,6325412503
Himesh Mani,29,Male,MARRIED,4112 4153 2635,DFGHQ8569T,"709, T-5, GAUR CITY, JAIPUR",9852635241,501,LIC TERM COVER,2051,500000,Sonali ,WIFE,7020163502
Raamesh Kr,28,Male,MARRIED,1245 9685 4587 ,XVERT4523S,"21/5, SITE 2, CUTTUCK ",7968521541,501,LIC TERM COVER,2045,500000,Shikha,WIFE,9480202304
Sibasis Sahu,27,Male,MARRIED,4215 6325 4125 ,POILK5210A,"42, BAZAAR ROAD, HIRAKUD",7206321348,501,LIC TERM COVER,2060,500000,Komal ,WIFE,9685974845
Sanjeevani,31,Female,UNMARRIED,7889 7675 6898,IFFET4255A,"21, HOUSE 2, LANE 5, AGRA",9658563363,501,LIC TERM COVER,2040,500000,Divesh Pratap,FATHER,6856956820
Kirti ,24,Female,UNMARRIED,9654 4521 7421,IBFSC1261Q,"12/7, KETAN VIHAR, RANCHI",7152416235,501,LIC TERM COVER,2056,500000,Ramesh Pathak,FATHER,6253529687
Sonali ,65,Female,MARRIED,7845 9658 5266,WJJAA1245Q,"1A, FIRESTATION ROAD , GWALIOR",9868596826,501,LIC TERM COVER,2015,500000,Uday Chopra,HUSBAND,9993562410
Shikha,45,Female,MARRIED,7845 1245 9645,ASWLQ75641,"21, PHASE 2, TIRUVANATHPURAM",9685421536,501,LIC TERM COVER,2015,500000,Ramesh Pathak,HUSBAND,9685620301
Komal ,74,Female,MARRIED,9652 4125 3629,JKJHA2019P,"41, VVIP APPT, NAVI MUMBAI",9632021201,501,LIC TERM COVER,2015,500000,Divesh Pratap,HUSBAND,9685496621
Raghu Raam,39,Male,MARRIED,7496 9633 4587,IOUOU7830Q,"21A, COVERT SQUARE, AHEMDABAD",6232012014,101,LIC LIFE INSURANCE-11,2015,20000,Sumitra Devi,WIFE,9865945751
Keshav Tripathy ,27,Male,MARRIED,9645 7812 1001,MNIOA4500E,"11,LANE 2, DELHI",7548695352,101,LIC LIFE INSURANCE-11,2022,20000,Surbhijyoti ,WIFE,9685968562
Himesh Mani,28,Male,MARRIED,9634 1562 3265,KJLPO0231A,"46/3 BUILDING C, SUCHITRA APPT. GREATER NOIDA",8568695654,101,LIC LIFE INSURANCE-11,2023,20000,Nimisha Singh ,WIFE,9658263523
Raamesh Kr,41,Male,MARRIED,6352 4521 4215,ASDDA4969A,"PLOT 2S,SECTOR 71, CHANDIGARH",7458415241,101,LIC LIFE INSURANCE-11,2024,20000,Soni ,WIFE,6234512010
Sibasis Sahu,57,Male,MARRIED,6936 4125 1210,DFGHQ8569T,"PLOT 6,HOUSE NO 2, SECTOR 32,AMBALA",7548685952,101,LIC LIFE INSURANCE-11,2025,20000,Sameesksha ,WIFE,9685956845
Mamata Sukla,26,Female,MARRIED,1201 2356 5263,XVERT4523S,"C-32, DELTA 1, SECTOR 12, GREATER NOIDA",7457486859,101,LIC LIFE INSURANCE-11,2027,20000,Divesh Pratap,HUSBAND,9856895623
Meenakshi Tyagi,53,Female,MARRIED,3526 6325 5235,POILK5210A,"12/7, BUILDING 2, SITE 5, GAZAIBAD",7458251262,101,LIC LIFE INSURANCE-11,2028,20000,Ramesh Pathak,HUSBAND,9685625626
Rani Mukkerjee,61,Female,MARRIED,9685 6565 9320,QPTUY2036A,"123-A, POCKET 2, MVS, MANAGALORE",9421515424,101,LIC LIFE INSURANCE-11,2029,20000,Uday Chopra,HUSBAND,6633221155
Shilpa Sen,75,Female,MARRIED,7412 4562 5236,PLOIP2098B,"709, T-5, GAUR CITY, JAIPUR",9632652631,101,LIC LIFE INSURANCE-11,2027,20000,Ramesh Pathak,HUSBAND,7235124587
Ranika Chatopadhaya,45,Female,MARRIED,8780 4625 2020 ,QWERT7458U,"21/5, SITE 2, CUTTUCK ",9030602502,101,LIC LIFE INSURANCE-11,2026,20000,Divesh Pratap,HUSBAND,7548685968
Seetalakshi Devi,26,Female,MARRIED,9696 3639 1520 ,WSTHS9620P,"42, BAZAAR ROAD, HIRAKUD",6356965326,101,LIC LIFE INSURANCE-11,2025,20000,Ramesh Pathak,HUSBAND,8596856458
Samantha Ruth ,21,Female,MARRIED,1230 4568 7485,SXTGH4520Q,"21, HOUSE 2, LANE 5, AGRA",9868952415,101,LIC LIFE INSURANCE-11,2024,20000,Uday Chopra,HUSBAND,9685486525
Parul Aggarwal,36,Female,MARRIED,9865 1500 2456,POLAD1039T,"12/7, KETAN VIHAR, RANCHI",9685485745,101,LIC LIFE INSURANCE-11,2032,20000,Ramesh Pathak,FATHER,9684579654
Purva Rana,54,Female,MARRIED,1425 6352 9689,POGHT60325,"1A, FIRESTATION ROAD , GWALIOR",9685696542,101,LIC LIFE INSURANCE-11,2024,20000,Chinmay Chaudhary ,FATHER,6352154967
Somitra Rana,24,Male,MARRIED,5623 2013 1425,WEDRT7458I,"21, PHASE 2, TIRUVANATHPURAM",6356274548,101,LIC LIFE INSURANCE-11,2024,20000,Mamata Sukla,MOTHER,9684675849
Sunil,23,Male,MARRIED,8956 4125 2635,ASXAA4526O,"PLOT 21, SECTOR 21, NOIDA,UP",9865845745,102,LIC LIFE INSURANCE-12,2050,50000,Meenakshi Tyagi,MOTHER,9625013012
Rajeeva,45,Male,MARRIED,2030 1021 6548,ASZSD36251,"FLAT 45A, SECTOR 62,NOIDA, UP",7893238786,102,LIC LIFE INSURANCE-12,2046,50000,Rani Mukkerjee,HUSBAND,6632549658
Kartik,56,Male,MARRIED,7895 4569 4125,KOLPA4586F,"PLOT A, SECTOR 27, NOIDA,UP",7215820301,102,LIC LIFE INSURANCE-12,2031,50000,Shilpa Sen,HUSBAND,8875496382
Suraaj ,90,Male,MARRIED,4103 1210 1251,COPAS9568R,"701,BUILDING B,MVR,MUMBAI",9635212540,102,LIC LIFE INSURANCE-12,2019,50000,Ranika Chatopadhaya,HUSBAND,7845913526
Malik,30,Male,MARRIED,1426 5263 2514 ,POIU7895Q,"43 A,MANGAL APPT. CHENNAI",6396352630,102,LIC LIFE INSURANCE-12,2014,50000,Sanjeevani,WIFE,6250302450
Sushant,56,Male,MARRIED,4152 6325 5689 ,TYHUG56822,"11,LANE 2, DELHI",9235231026,102,LIC LIFE INSURANCE-12,2020,50000,Kirti ,WIFE,6568564254
Rahul,31,Male,MARRIED,8547 4596 6546 ,POITY4021Y,"46/3 BUILDING C, SUCHITRA APPT. GREATER NOIDA",8526234162,102,LIC LIFE INSURANCE-12,2063,50000,Sonali ,WIFE,7548963659
Ravi ,24,Male,MARRIED,4587 4125 2365 ,PLOIA2300L,"PLOT 2S,SECTOR 71, CHANDIGARH",9886896856,102,LIC LIFE INSURANCE-12,2029,50000,Shikha,MOTHER,7845825146
Ketan,25,Male,MARRIED,1245 1425 3602,PLOKI12344,"PLOT 6,HOUSE NO 2, SECTOR 32,AMBALA",9686235967,102,LIC LIFE INSURANCE-12,2046,50000,Komal ,MOTHER,9867985648
Sonali ,22,Female,MARRIED,4526 1235 2356 ,QWASA4512L,"C-32, DELTA 1, SECTOR 12, GREATER NOIDA",8694100023,102,LIC LIFE INSURANCE-12,2045,50000,Rajeev,FATHER,8888565846
Sheena,26,Female,MARRIED,4578 9658 6235,WTSYH493S2,"12/7, BUILDING 2, SITE 5, GAZAIBAD",6359632012,102,LIC LIFE INSURANCE-12,2070,50000,Tiru,FATHER,7785485465
Rani,24,Female,MARRIED,4152 7459 6320 ,HJJSD2012S,"123-A, POCKET 2, MVS, MANAGALORE",9652362659,102,LIC LIFE INSURANCE-12,2026,50000,Gaurav,HUSBAND,7548632014
Kritivij,21,Female,MARRIED,1200 3002 1200,POIUN1245O,"709, T-5, GAUR CITY, JAIPUR",9326528214,102,LIC LIFE INSURANCE-12,2030,50000,Shivaaji,HUSBAND,7548695865
Priyanka,30,Female,MARRIED,7874 4859 4568,ABCGD7483I,"21/5, SITE 2, CUTTUCK ",6235652352,102,LIC LIFE INSURANCE-12,2016,50000,Adinarayaan,HUSBAND,7548685935
Raju ,25,Male,MARRIED,1234 5636 4356 ,OIJLT7458O,"42, BAZAAR ROAD, HIRAKUD",7894584572,102,LIC LIFE INSURANCE-12,2065,50000,Purva,WIFE,9685945635
Jobin,28,Male,MARRIED,4584 4521 1032 ,PLOID4552E,"21, HOUSE 2, LANE 5, AGRA",9635692103,103,LIC LIFE INSURANCE-13,2070,100000,Harshita,WIFE,6859352642
Himanshu,35,Male,MARRIED,1452 6523 8457 ,QPOLT4578A,"12/7, KETAN VIHAR, RANCHI",7520163202,103,LIC LIFE INSURANCE-13,2031,100000,Rinki ,WIFE,9868596825
Jerry ,42,Male,MARRIED,5214 4125 6894,ERTYC4568,"1A, FIRESTATION ROAD , GWALIOR",8564120302,103,LIC LIFE INSURANCE-13,2029,100000,Surbhijyoti ,WIFE,6326235956
Josheph,71,Male,MARRIED,7485 9568 8575,RFTHY7458O,"21, PHASE 2, TIRUVANATHPURAM",7985686523,103,LIC LIFE INSURANCE-13,2025,100000,Mohini,WIFE,8547202035
Purva,26,Female,MARRIED,14521 2365 2895,KJLPO0231A,"PLOT 21, SECTOR 21, NOIDA,UP",9458163267,103,LIC LIFE INSURANCE-13,2027,100000,Raju ,HUSBAND,6589653520
Harshita,24,Female,MARRIED,4574 5263 1524,ASDDA4969A,"FLAT 45A, SECTOR 62,NOIDA, UP",9865263520,103,LIC LIFE INSURANCE-13,2027,100000,Jobin,HUSBAND,9568448596
Rinki ,29,Female,MARRIED,4112 4153 2635,DFGHQ8569T,"PLOT A, SECTOR 27, NOIDA,UP",9856220213,103,LIC LIFE INSURANCE-13,2028,100000,Himanshu,HUSBAND,8754963251
Surbhijyoti ,28,Female,MARRIED,1245 9685 4587 ,XVERT4523S,"701,BUILDING B,MVR,MUMBAI",7549630123,103,LIC LIFE INSURANCE-13,2089,100000,Jerry ,HUSBAND,8549636254
Mohini,27,Female,MARRIED,4215 6325 4125 ,POILK5210A,"43 A,MANGAL APPT. CHENNAI",6030230230,103,LIC LIFE INSURANCE-13,2023,100000,Josheph,HUSBAND,9659635235
Raghu Raam,26,Male,MARRIED,8547 4596 6546 ,POITY4021Y,"21, PHASE 2, TIRUVANATHPURAM",9681542160,103,LIC LIFE INSURANCE-13,2024,100000,Sanjeevani,WIFE,8759686545
Keshav Tripathy ,24,Male,MARRIED,4587 4125 2365 ,PLOIA2300L,"PLOT 21, SECTOR 21, NOIDA,UP",9856810003,103,LIC LIFE INSURANCE-13,2031,100000,Kirti ,WIFE,8546956745
Himesh Mani,29,Male,MARRIED,1245 1425 3602,PLOKI12344,"FLAT 45A, SECTOR 62,NOIDA, UP",7520306250,103,LIC LIFE INSURANCE-13,2054,100000,Sonali ,WIFE,6321502012
Raamesh Kr,28,Male,MARRIED,4526 1235 2356 ,QWASA4512L,"PLOT A, SECTOR 27, NOIDA,UP",8020603503,103,LIC LIFE INSURANCE-13,2014,100000,Shikha,WIFE,7845963214
Sibasis Sahu,27,Male,MARRIED,4578 9658 6235,WTSYH493S2,"701,BUILDING B,MVR,MUMBAI",7056035601,103,LIC LIFE INSURANCE-13,2031,100000,Komal ,WIFE,8874597545
Sanjeevani,31,Female,MARRIED,4152 7459 6320 ,HJJSD2012S,"43 A,MANGAL APPT. CHENNAI",9868302654,301,LIC JEEVAN BEEMA-21,2027,1000000,Divesh Pratap,FATHER,9632568457
Kirti ,24,Female,MARRIED,1200 3002 1200,POIUN1245O,"76 C, KIRTI BUILDING, DELHI",7895656221,301,LIC JEEVAN BEEMA-21,2025,1000000,Ramesh Pathak,FATHER,7891238219
Sonali ,65,Female,MARRIED,7874 4859 4568,ABCGD7483I,"8B, POCKET 2, MVP-3, BHUBANESWAR",9685326594,301,LIC JEEVAN BEEMA-21,2029,1000000,Uday Chopra,HUSBAND,9823713290
Shikha,45,Female,MARRIED,1234 5636 4356 ,OIJLT7458O,"12/4 BUILDING 2, SITE 4,MADHURAI",9686552365,301,LIC JEEVAN BEEMA-21,2070,1000000,Ramesh Pathak,HUSBAND,9328715469
Komal ,74,Female,MARRIED,4584 4521 1032 ,PLOID4552E,"41, VVIP APPT, NAVI MUMBAI",9658475124,301,LIC JEEVAN BEEMA-21,2021,1000000,Divesh Pratap,HUSBAND,9856201630
Meenakshi Tyagi,53,Female,MARRIED,9645 7812 1001,MNIOA4500E,"21A, COVERT SQUARE, AHEMDABAD",8201352640,301,LIC JEEVAN BEEMA-21,2019,1000000,Ramesh Pathak,HUSBAND,9852016203
Rani Mukkerjee,61,Female,MARRIED,9634 1562 3265,KJLPO0231A,"11,LANE 2, DELHI",7052304601,301,LIC JEEVAN BEEMA-21,2015,1000000,Uday Chopra,HUSBAND,6545182713
Shilpa Sen,75,Female,MARRIED,6352 4521 4215,ASDDA4969A,"46/3 BUILDING C, SUCHITRA APPT. GREATER NOIDA",7564896523,301,LIC JEEVAN BEEMA-21,2013,1000000,Ramesh Pathak,HUSBAND,6523596523
Ranika Chatopadhaya,45,Female,MARRIED,6936 4125 1210,DFGHQ8569T,"PLOT 2S,SECTOR 71, CHANDIGARH",6363152462,301,LIC JEEVAN BEEMA-21,2049,1000000,Divesh Pratap,HUSBAND,9635968524
